copy0,copy1,processsymbols,createtree,createtree_partition,assigncodeword,assigncodeword_partition,obj1,obj2
0123,1,1,2,2,2,4,1,32.654,1118
0124,1,1,2,2,2,4,2,32.420,1120
0125,1,1,2,2,2,4,4,32.240,1131
0126,1,1,2,2,4,1,1,33.724,1077
0127,1,1,2,2,4,1,2,33.147,1081
0128,1,1,2,2,4,1,4,32.864,1100
0129,1,1,2,2,4,2,1,31.946,1165
0130,1,1,2,2,4,2,2,33.095,1112
0131,1,1,2,2,4,2,4,33.565,1152
0132,1,1,2,2,4,4,1,33.314,1219
0133,1,1,2,2,4,4,2,33.405,1215
0134,1,1,2,2,4,4,4,32.605,1183
0135,1,1,2,4,1,1,1,34.235,1038
0136,1,1,2,4,1,1,2,33.793,1040
0137,1,1,2,4,1,1,4,34.972,1047
0138,1,1,2,4,1,2,1,33.667,1100
0139,1,1,2,4,1,2,2,34.130,1064
0140,1,1,2,4,1,2,4,33.588,1102
0141,1,1,2,4,1,4,1,34.201,1194
0142,1,1,2,4,1,4,2,33.434,1154
0143,1,1,2,4,1,4,4,34.542,1205
0144,1,1,2,4,2,1,1,30.043,1225
0145,1,1,2,4,2,1,2,30.499,1202
0146,1,1,2,4,2,1,4,31.201,1169
0147,1,1,2,4,2,2,1,30.236,1253
0148,1,1,2,4,2,2,2,30.204,1249
0149,1,1,2,4,2,2,4,29.311,1259
0150,1,1,2,4,2,4,1,29.346,1324
0151,1,1,2,4,2,4,2,30.346,1334
0152,1,1,2,4,2,4,4,31.108,1328
0153,1,1,2,4,4,1,1,30.491,1211
0154,1,1,2,4,4,1,2,29.987,1252
0155,1,1,2,4,4,1,4,30.132,1221
0156,1,1,2,4,4,2,1,30.114,1287
0157,1,1,2,4,4,2,2,30.011,1323
0158,1,1,2,4,4,2,4,29.993,1332
0159,1,1,2,4,4,4,1,30.255,1372
0160,1,1,2,4,4,4,2,30.494,1388
0161,1,1,2,4,4,4,4,30.699,1352
0162,1,1,4,1,1,1,1,35.515,817
0163,1,1,4,1,1,1,2,34.546,841
0164,1,1,4,1,1,1,4,35.898,878
0165,1,1,4,1,1,2,1,36.942,881
0166,1,1,4,1,1,2,2,36.780,880
0167,1,1,4,1,1,2,4,36.053,887
0168,1,1,4,1,1,4,1,35.552,963
0169,1,1,4,1,1,4,2,36.479,992
0170,1,1,4,1,1,4,4,35.989,953
0171,1,1,4,1,2,1,1,36.102,886
0172,1,1,4,1,2,1,2,36.167,873
0173,1,1,4,1,2,1,4,36.811,871
0174,1,1,4,1,2,2,1,35.667,928
0176,1,1,4,1,2,2,4,35.722,916
0177,1,1,4,1,2,4,1,35.763,1036
0178,1,1,4,1,2,4,2,36.305,1032
0179,1,1,4,1,2,4,4,35.711,1022
0180,1,1,4,1,4,1,1,34.990,918
0181,1,1,4,1,4,1,2,35.354,949
