design,copy0,copy1,computehistogram,computehistogram_partition,resort,processsymbols,movenodes,assigncodeword,obj1,obj2
0106,1,2,2,2,1,1,2,1,42.959,1121
0107,1,2,2,2,1,1,2,2,43.457,1156
0108,1,2,2,2,2,1,1,1,42.761,1194
0109,1,2,2,2,2,1,1,2,43.453,1269
0110,1,2,2,2,2,1,2,1,45.599,1255
0111,1,2,2,2,2,1,2,2,43.430,1286
0112,1,2,2,4,1,1,1,1,35.051,1131
0113,1,2,2,4,1,1,1,2,35.820,1186
0114,1,2,2,4,1,1,2,1,38.083,1150
0115,1,2,2,4,1,1,2,2,37.502,1242
0116,1,2,2,4,2,1,1,1,35.102,1296
0117,1,2,2,4,2,1,1,2,35.506,1330
0118,1,2,2,4,2,1,2,1,36.870,1367
0119,1,2,2,4,2,1,2,2,36.077,1362
0120,1,2,4,1,1,1,1,1,41.876,1234
0121,1,2,4,1,1,1,1,2,41.980,1285
0122,1,2,4,1,1,1,2,1,42.320,1257
0123,1,2,4,1,1,1,2,2,43.949,1346
0124,1,2,4,1,2,1,1,1,41.477,1349
0125,1,2,4,1,2,1,1,2,41.358,1489
0126,1,2,4,1,2,1,2,1,42.602,1411
0127,1,2,4,1,2,1,2,2,42.390,1465
0128,1,2,4,2,1,1,1,1,31.706,1261
0129,1,2,4,2,1,1,1,2,31.103,1282
0130,1,2,4,2,1,1,2,1,33.193,1302
0131,1,2,4,2,1,1,2,2,32.200,1317
0132,1,2,4,2,2,1,1,1,30.832,1468
0133,1,2,4,2,2,1,1,2,30.526,1505
0134,1,2,4,2,2,1,2,1,32.204,1505
0135,1,2,4,2,2,1,2,2,31.433,1619
0136,1,2,4,4,1,1,1,1,31.431,1392
0137,1,2,4,4,1,1,1,2,31.755,1417
0138,1,2,4,4,1,1,2,1,31.552,1516
0139,1,2,4,4,1,1,2,2,31.231,1475
0140,1,2,4,4,2,1,1,1,30.973,1494
0141,1,2,4,4,2,1,1,2,30.342,1530
0142,1,2,4,4,2,1,2,1,30.426,1598
0143,1,2,4,4,2,1,2,2,31.716,1611
0144,1,4,1,1,1,1,1,1,36.923,1106
0145,1,4,1,1,1,1,1,2,34.842,1202
0146,1,4,1,1,1,1,2,1,38.318,1184
0147,1,4,1,1,1,1,2,2,37.035,1207
0148,1,4,1,1,2,1,1,1,35.645,1239
0149,1,4,1,1,2,1,1,2,34.432,1303
0150,1,4,1,1,2,1,2,1,35.329,1242
0151,1,4,1,1,2,1,2,2,38.087,1313
0152,1,4,1,2,1,1,1,1,37.157,1230
0153,1,4,1,2,1,1,1,2,36.157,1195
0154,1,4,1,2,1,1,2,1,37.154,1139
0155,1,4,1,2,1,1,2,2,36.327,1241
0156,1,4,1,2,2,1,1,1,37.214,1189
0157,1,4,1,2,2,1,1,2,37.398,1268
0158,1,4,1,2,2,1,2,1,36.890,1246
0159,1,4,1,2,2,1,2,2,37.226,1322
0160,1,4,1,4,1,1,1,1,36.448,1106
0161,1,4,1,4,1,1,1,2,35.485,1198
0162,1,4,1,4,1,1,2,1,37.854,1198
0163,1,4,1,4,1,1,2,2,37.661,1288
0164,1,4,1,4,2,1,1,1,34.394,1293
0165,1,4,1,4,2,1,1,2,35.327,1371
0166,1,4,1,4,2,1,2,1,36.323,1323
0167,1,4,1,4,2,1,2,2,35.553,1418
0168,1,4,2,1,1,1,1,1,43.319,1245
0169,1,4,2,1,1,1,1,2,43.730,1316
0170,1,4,2,1,1,1,2,1,45.036,1244
0171,1,4,2,1,1,1,2,2,42.954,1337
0172,1,4,2,1,2,1,1,1,43.242,1404
0173,1,4,2,1,2,1,1,2,43.088,1360
0174,1,4,2,1,2,1,2,1,44.518,1421
0175,1,4,2,1,2,1,2,2,42.871,1532
0176,1,4,2,2,1,1,1,1,44.233,1348
0177,1,4,2,2,1,1,1,2,43.907,1328
0178,1,4,2,2,1,1,2,1,44.806,1294
0179,1,4,2,2,1,1,2,2,43.320,1360
0180,1,4,2,2,2,1,1,1,41.966,1423
0181,1,4,2,2,2,1,1,2,42.566,1419
0182,1,4,2,2,2,1,2,1,44.707,1382
0183,1,4,2,2,2,1,2,2,43.517,1507
0184,1,4,2,4,1,1,1,1,37.592,1236
0185,1,4,2,4,1,1,1,2,36.723,1327
0186,1,4,2,4,1,1,2,1,38.233,1285
0187,1,4,2,4,1,1,2,2,37.293,1340
0188,1,4,2,4,2,1,1,1,35.943,1447
0189,1,4,2,4,2,1,1,2,35.856,1520
0190,1,4,2,4,2,1,2,1,37.829,1466
0191,1,4,2,4,2,1,2,2,35.703,1567
0192,1,4,4,1,1,1,1,1,42.628,1331
0193,1,4,4,1,1,1,1,2,43.219,1442
0194,1,4,4,1,1,1,2,1,43.236,1395
0195,1,4,4,1,1,1,2,2,42.754,1476
0196,1,4,4,1,2,1,1,1,41.791,1421
